"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001009","A673STAG2NT14"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001010","A673STAG2NT23"
"true","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000429","A704"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000528","ABC1"
"true","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000086","ACCMESO1"
"true","Kidney","Renal Cell Carcinoma","Papillary Renal Cell Carcinoma","ACH-000046","ACHN"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002389","ACN"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000880","AGS"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-002209","ALLPO"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000105","ALLSIL"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000269","AM38"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000557","AML193"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-000838","AMO1"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000940","AN3CA"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-001329","ANGMCSS"
"true","Myeloid","Non-Cancerous","Immortalized Blood","ACH-002210","ARH77"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001443","ASH3"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000222","ASPC1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Adult T-Cell Leukemia/Lymphoma","ACH-002058","ATN1"
"true","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000248","AU565"
"true","Bowel","Small Bowel Cancer","Duodenal Adenocarcinoma","ACH-001015","AZ521"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-002211","BALL1"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","ACH-002212","BB30HNC"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002342","BB30PBL"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002343","BB49EBV"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002213","BB49HNC"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002344","BB65EBV"
"true","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-002090","BB65RCC"
"true","Lymphoid","Non-Hodgkin Lymphoma","Primary Effusion Lymphoma","ACH-002214","BC1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Primary Effusion Lymphoma","ACH-002215","BC3"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000593","BC3C"
"true","Lymphoid","Non-Hodgkin Lymphoma","Primary Effusion Lymphoma","ACH-000923","BCP1"
"true","Thyroid","Poorly Differentiated Thyroid Cancer","Poorly Differentiated Thyroid Cancer","ACH-000456","BCPAP"
"true","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","ACH-000080","BDCM"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-002216","BE13"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002217","BE2M17"
"true","CNS/Brain","Diffuse Glioma","Astrocytoma","ACH-001016","BECKER"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000603","BEN"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000802","BFTC905"
"true","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000792","BFTC909"
"true","Cervix","Cervical Adenocarcinoma","Endocervical Adenocarcinoma","ACH-001017","BGC823"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-000191","BHT101"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000548","BHY"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001331","BICR10"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000503","BICR16"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-000992","BICR18"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000794","BICR22"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000228","BICR31"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000771","BICR56"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Hypopharynx Squamous Cell Carcinoma","ACH-000415","BICR6"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001332","BICR78"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Small Cell Carcinoma of the Ovary","ACH-001278","BIN67"
"true","Fibroblast","Non-Cancerous","Fibroblast, NOS","ACH-001018","BJHTERT"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-000245","BL41"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-000402","BL70"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-001450","BLUE1"
"true","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001451","BOKU"
"true","Lymphoid","Non-Hodgkin Lymphoma","Hairy Cell Leukemia","ACH-001452","BONNA12"
"true","Prostate","Non-Cancerous","Hyperplasia, Prostate","ACH-001453","BPH1"
"true","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-000160","BT12"
"true","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001020","BT16"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000536","BT20"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000927","BT474"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000818","BT483"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Carcinoma, NOS","ACH-000288","BT549"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-000432","BV173"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000535","BXPC3"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001454","C10"
"true","Bowel","Colorectal Adenocarcinoma","Colorectal Adenocarcinoma","ACH-001456","C125PM"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000009","C2BBE1"
"true","Skin","Melanoma","Melanoma","ACH-000580","C32"
"true","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001333","C33A"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-001818","C396"
"true","Liver","Hepatoblastoma","Hepatoblastoma","ACH-001021","C3A"
"true","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001334","C4I"
"true","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001335","C4II"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001458","C75"
"true","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","ACH-001459","C80"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000206","C8166"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001460","C84"
"true","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","ACH-001461","C99"
"true","Lymphoid","Non-Hodgkin Lymphoma","Burkitt Lymphoma","ACH-000440","CA46"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002043","CA922"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000003","CACO2"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-000210","CADOES1"
"true","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000433","CAKI1"
"true","Kidney","Renal Cell Carcinoma","Papillary Renal Cell Carcinoma","ACH-000234","CAKI2"
"true","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000212","CAL120"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000826","CAL12T"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000902","CAL148"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000832","CAL27"
"true","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000142","CAL29"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000518","CAL33"
"true","Vulva/Vagina","Squamous Cell Carcinoma of the Vulva/Vagina","Squamous Cell Carcinoma of the Vulva/Vagina","ACH-002091","CAL39"
"true","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000856","CAL51"
"true","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000457","CAL54"
"true","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-000174","CAL62"
"true","Bone","Osteosarcoma","Osteosarcoma","ACH-001715","CAL72"
"true","Bone","Chondrosarcoma","Dedifferentiated Chondrosarcoma","ACH-000516","CAL78"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000857","CAL851"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000511","CALU1"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000392","CALU3"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000264","CALU6"
"true","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-000783","CAMA1"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000713","CAOV3"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000103","CAOV4"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000354","CAPAN1"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000107","CAPAN2"
"true","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","ACH-002345","CAR1"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000464","CAS1"
"true","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001336","CASKI"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001022","CBAGPN"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Cholangiocarcinoma","ACH-002647","CCC5"
"true","CNS/Brain","Diffuse Glioma","Astrocytoma","ACH-000329","CCFSTTG1"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000963","CCK81"
"true","Kidney","Renal Cell Carcinoma","Renal Medullary Carcinoma","ACH-001163","CCLFPEDS0001T"
"true","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","ACH-001164","CCLFPEDS0003T"
"true","Soft Tissue","Epithelioid Sarcoma","Epithelioid Sarcoma","ACH-001433","CCLFPEDS0008T"
"true","Fibroblast","Non-Cancerous","Fibroblast, Soft Tissue","ACH-001767","CCLFPEDS0018T"
"true","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002446","CCLFUPGI0005T"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001959","CCLP1"
"true","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-001738","CCRFCEM"
"true","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001960","CCSW1"
"true","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-002218","CESS"
"true","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000138","CFPAC1"
"true","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","ACH-001023","CGTHW1"
"true","CNS/Brain","Meningothelial Tumor","Meningioma","ACH-000025","CH157MN"
"true","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000867","CHAGOK1"
"true","Skin","Melanoma","Melanoma","ACH-001024","CHL1"
"true","Skin","Melanoma","Melanoma","ACH-001041","CHL1DM"
"true","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001028","CHLA06ATRT"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001029","CHLA10"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001300","CHLA15"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001030","CHLA218"
"true","CNS/Brain","Embryonal Tumor","Primitive Neuroectodermal Tumor","ACH-001282","CHLA258"
"true","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001031","CHLA266"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001032","CHLA32"
"true","CNS/Brain","Embryonal Tumor","Primitive Neuroectodermal Tumor","ACH-001033","CHLA57"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001034","CHLA9"
"true","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001035","CHLA99"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000136","CHP126"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001338","CHP134"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000120","CHP212"
"true","Bone","Chondrosarcoma","Chondrosarcoma","ACH-002092","CHSA0011"
"true","Bone","Chondrosarcoma","Chondrosarcoma","ACH-002093","CHSA0108"
"true","Bone","Chondrosarcoma","Chondrosarcoma","ACH-002094","CHSA8926"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001484","CI"
"true","Lymphoid","Non-Hodgkin Lymphoma","Mature B-Cell Neoplasms","ACH-000687","CI1"
"true","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001485","CII"
"true","Skin","Melanoma","Melanoma","ACH-000458","CJM"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000249","CL11"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000342","CL14"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000895","CL34"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000798","CL40"
"true","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","ACH-001322","CME1"
"true","Myeloid","Acute Myeloid Leukemia","Myeloid Leukemia Associated with Down Syndrome","ACH-000641","CMK"
"true","Myeloid","Acute Myeloid Leukemia","Myeloid Leukemia Associated with Down Syndrome","ACH-001036","CMK115"
"true","Myeloid","Acute Myeloid Leukemia","Myeloid Leukemia Associated with Down Syndrome","ACH-001037","CMK86"
"true","Myeloid","Myeloproliferative Neoplasms","Chronic Myelogenous Leukemia","ACH-000920","CMLT1"
"true","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001289","COGAR359"
"true","CNS/Brain","Embryonal Tumor","Primitive Neuroectodermal Tumor","ACH-001038","COGE352"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001301","COGN278"
"true","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001302","COGN305"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000253","COLO201"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001039","COLO205"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000202","COLO320"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-002219","COLO320HSR"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000803","COLO668"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000350","COLO678"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-000805","COLO679"
"true","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-000717","COLO680N"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000864","COLO684"
"true","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-001042","COLO704"
"true","Skin","Melanoma","Melanoma","ACH-000582","COLO741"
"true","Lymphoid","Non-Hodgkin Lymphoma","Plasma Cell Myeloma","ACH-001043","COLO775"
"true","Skin","Melanoma","Melanoma","ACH-000812","COLO783"
"true","Skin","Melanoma","Melanoma","ACH-000968","COLO792"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-001339","COLO794"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-000401","COLO800"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-001044","COLO818"
"true","Breast","Breast Neoplasm, NOS","Breast Neoplasm, NOS","ACH-001820","COLO824"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-000644","COLO829"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002380","COLO829BL"
"true","Skin","Melanoma","Cutaneous Melanoma","ACH-001045","COLO849"
"true","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000161","CORL105"
"true","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000662","CORL23"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000382","CORL24"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000257","CORL279"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002095","CORL303"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000187","CORL311"
"true","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-001489","CORL32"
"true","Unknown","","","ACH-001490","CORL321"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000695","CORL47"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-001047","CORL51"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000508","CORL88"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000743","CORL95"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000256","COV318"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000278","COV362"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","ACH-001340","COV413A"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Small Cell Carcinoma of the Ovary","ACH-000123","COV434"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","ACH-001048","COV504"
"true","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Mucinous Ovarian Cancer","ACH-000608","COV644"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002346","CP50EBV"
"true","Skin","Melanoma","Melanoma","ACH-002096","CP50MELB"
"true","Normal","Non-Cancerous","Matched Normal","ACH-002347","CP66EBV"
"true","Skin","Melanoma","Melanoma","ACH-002097","CP66MEL"
"true","Skin","Melanoma","Melanoma","ACH-002098","CP67MEL"
"true","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-001049","CPCN"
"true","Lymphoid","Non-Hodgkin Lymphoma","Primary Effusion Lymphoma","ACH-002220","CROAP2"
"true","Bone","Chondrosarcoma","Chondrosarcoma","ACH-002099","CS1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Diffuse Large B-Cell Lymphoma, NOS","ACH-002221","CTB1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Adult T-Cell Leukemia/Lymphoma","ACH-002222","CTV1"
"true","Lymphoid","Non-Hodgkin Lymphoma","Adult T-Cell Leukemia/Lymphoma","ACH-001737","CTV1DM"
"true","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000998","CW2"
"true","Soft Tissue","Rhabdomyosarcoma","Alveolar Rhabdomyosarcoma","ACH-001050","CW9019"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002223","D245MG"
"true","CNS/Brain","Diffuse Glioma","Gliosarcoma","ACH-002224","D247MG"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002225","D263MG"
"true","CNS/Brain","Embryonal Tumor","Medulloblastoma","ACH-000055","D283MED"
"true","CNS/Brain","Diffuse Glioma","Gliosarcoma","ACH-002226","D336MG"
"true","CNS/Brain","Embryonal Tumor","Medulloblastoma","ACH-000095","D341Med"
"true","CNS/Brain","Embryonal Tumor","Medulloblastoma","ACH-001052","D384"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002227","D392MG"
"true","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-002228","D423MG"
